method,path,domain,wire_kind,document_source,runtime_authority,comparison_status,target_task
POST,/agent-chat/{session_id},other,sse-or-event,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/agent/mcp-oauth-resolutions/{pending_id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/agent/mcp-oauth-resolutions/{pending_id}/cancel,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/agent/tool-approvals/{pending_id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/agents,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/agents,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/agents/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/agents/{id},other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
PUT,/agents/{id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/agents/{id}/copy,other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
DELETE,/agents/{id}/shares/{share_id},other,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/agents/{id}/suggested-questions,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/agents/placeholders,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/agents/type-presets,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
GET,/api/v1/knowledge/{id}/spans,other,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T01 follow-up
POST,/auth/auto-setup,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/change-password,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/config,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/invitations/lookup,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/login,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
POST,/auth/logout,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/me,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
PUT,/auth/me/preferences,identity,mutation,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/oidc/callback,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
GET,/auth/oidc/config,identity,read,swagger-2.0,internal/router/routes_*.go + handler annotation,requires-handler-dto-permission-review,T03
