route_or_entry,kind,identity,capability,interaction,target_task,migration_disposition,current_source
/,redirect,public,none,redirect to /platform/knowledge-bases,T04,migrate,frontend/src/router/index.ts
/login,page,public,none,login/OIDC/language selection,T03,migrate,frontend/src/views/auth/Login.vue
/register,page,public,none,invite registration reuses login,T03,migrate,frontend/src/views/auth/Login.vue
/onboarding/workspace,page,authenticated,no tenant,workspace onboarding,T03/T04,migrate,frontend/src/views/auth/WorkspaceOnboarding.vue
/join,redirect,authenticated,initialization,organization invite code redirect,T04/T16,migrate,frontend/src/router/index.ts
/knowledgeBase,page,authenticated,initialization,legacy knowledge-base URL,T06,migrate,frontend/src/views/knowledge/KnowledgeBase.vue
/platform,layout+redirect,authenticated,initialization,platform shell,T04/T05,migrate,frontend/src/views/platform/index.vue
/platform/settings,page,authenticated,initialization,settings section selected by query,T05/T17,migrate,frontend/src/views/settings/Settings.vue
/platform/knowledge-bases,page,authenticated,initialization,knowledge-base list/search/create,T06,migrate,frontend/src/views/knowledge/KnowledgeBaseList.vue
/platform/knowledge-bases/:kbId,page,authenticated,initialization,knowledge-base detail,T06-T09,migrate,frontend/src/views/knowledge/KnowledgeBase.vue
/platform/knowledge-search,redirect,authenticated,initialization,legacy command-panel URL,T04/T06,migrate,frontend/src/router/index.ts
/platform/agents,page,authenticated,agents,agent list,T15,migrate,frontend/src/views/agent/AgentList.vue
/platform/integrations,redirect,authenticated,initialization,legacy settings integration URL,T05/T18,migrate,frontend/src/router/index.ts
/platform/creatChat,page,authenticated,initialization,legacy spelling must remain,T10/T11,migrate,frontend/src/views/creatChat/creatChat.vue
/platform/knowledge-bases/:kbId/creatChat,page,authenticated,initialization,knowledge-base chat entry,T10/T11,migrate,frontend/src/views/creatChat/creatChat.vue
/platform/chat/:chatid,page,authenticated,initialization,chat history/resume,T10-T14,migrate,frontend/src/views/chat/index.vue
/platform/organizations,page,authenticated,organizations,organization management,T16,migrate,frontend/src/views/organization/OrganizationList.vue
/platform/system/*,redirect,authenticated,system_admin,system settings/queues compatibility URLs,T16/T17,migrate,frontend/src/router/index.ts
/platform/dev/markdown,dev-only,public,none,development renderer fixture,T13,test-only,frontend/src/views/dev/MarkdownTestPage.vue
embed.html,independent-entry,embed visitor,embed,token exchange/chat/postMessage bridge,T18,migrate,frontend/embed.html; frontend/src/embed-main.ts
settings:ChatHistorySettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/ChatHistorySettings.vue
settings:EnvVarSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/EnvVarSettings.vue
settings:GeneralSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/GeneralSettings.vue
settings:McpSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/McpSettings.vue
settings:MemorySettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/MemorySettings.vue
settings:MemoryWorkspaceSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/MemoryWorkspaceSettings.vue
settings:ModelSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/ModelSettings.vue
settings:OllamaSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/OllamaSettings.vue
settings:ParserEngineSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/ParserEngineSettings.vue
settings:RetrievalSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/RetrievalSettings.vue
settings:SandboxSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/SandboxSettings.vue
settings:Settings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/Settings.vue
settings:SkillSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/SkillSettings.vue
settings:StorageBackendSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/StorageBackendSettings.vue
settings:StorageEngineSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/StorageEngineSettings.vue
settings:SystemInfo,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/SystemInfo.vue
settings:TenantInfo,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/TenantInfo.vue
settings:TenantMembers,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/TenantMembers.vue
settings:UserProfile,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/UserProfile.vue
settings:VectorStoreSettings,settings-section,tenant-scoped,section access,settings panel; verify save/error semantics,T05/T17,migrate,frontend/src/views/settings/VectorStoreSettings.vue
