row_id,route_or_entry,kind
R001,/,redirect
R002,/login,page
R003,/register,page
R004,/onboarding/workspace,page
R005,/join,redirect
R006,/knowledgeBase,page
R007,/platform,layout+redirect
R008,/platform/settings,page
R009,/platform/knowledge-bases,page
R010,/platform/knowledge-bases/:kbId,page
R011,/platform/knowledge-search,redirect
R012,/platform/agents,page
R013,/platform/integrations,redirect
R014,/platform/creatChat,page
R015,/platform/knowledge-bases/:kbId/creatChat,page
R016,/platform/chat/:chatid,page
R017,/platform/organizations,page
R018,/platform/configuration,page
R019,/platform/administration,page
R020,/platform/apps,page
R021,/platform/apps/connections,page
R022,/platform/apps/authorization/:id,page
R023,/platform/apps/actions/:id,page
R024,/platform/system/*,redirect
R025,/platform/dev/markdown,dev-only
R026,embed.html,independent-entry
R027,settings:ChatHistorySettings,settings-section
R028,settings:EnvVarSettings,settings-section
R029,settings:GeneralSettings,settings-section
R030,settings:McpSettings,settings-section
R031,settings:MemorySettings,settings-section
R032,settings:MemoryWorkspaceSettings,settings-section
R033,settings:ModelSettings,settings-section
R034,settings:OllamaSettings,settings-section
R035,settings:ParserEngineSettings,settings-section
R036,settings:RetrievalSettings,settings-section
R037,settings:SandboxSettings,settings-section
R038,settings:Settings,settings-section
R039,settings:SkillSettings,settings-section
R040,settings:StorageBackendSettings,settings-section
R041,settings:StorageEngineSettings,settings-section
R042,settings:SystemInfo,settings-section
R043,settings:TenantInfo,settings-section
R044,settings:TenantMembers,settings-section
R045,settings:UserProfile,settings-section
R046,settings:VectorStoreSettings,settings-section
R047,settings:WeKnoraCloudSettings,settings-section
R048,settings:WebSearchSettings,settings-section
R049,settings:McpMetadataPanel,settings-section
R050,settings:McpServiceDialog,settings-section
R051,settings:McpTestResultBody,settings-section
R052,settings:McpToolsList,settings-section
R053,/files,special-file-route
R054,/r/:token,special-file-route
R055,/api/v1/files/presigned,special-file-route
R056,/api/v1/knowledge-bases/:id/files,special-file-route
R057,/api/v1/sessions/:id/messages/:message_id/files,special-file-route
R058,/api/v1/sessions/:id/sandbox/terminal,special-websocket
R059,/api/v1/embed/:channel_id/files,special-embed-route
