task	depends_on	status	branch	base_sha	commit	owner	test_command	cwd	exit_code	evidence	spec_review	quality_review	integration
P1.0	P0	pending									pending	pending	pending
P1.1	P1.0	blocked-design									pending	pending	pending
P1.2	P1.1	blocked-design									pending	pending	pending
P1.3	P1.2	blocked-design									pending	pending	pending
P1.4	P1.2	blocked-design									pending	pending	pending
P1.5	P1.3,P1.4	blocked-design									pending	pending	pending
P2.1	P1.1	blocked-design									pending	pending	pending
P2.2	P2.1,P1.2	blocked-design									pending	pending	pending
P2.3	P2.2,P1.5	blocked-design									pending	pending	pending
P2.4	P2.3	blocked-design									pending	pending	pending
P2.5	P2.2,P1.5	blocked-design									pending	pending	pending
P2.6	P2.4,P2.5	blocked-design									pending	pending	pending
P3.1	P1.5,P2.5	blocked-design									pending	pending	pending
P3.2	P3.1,P2.6	blocked-design									pending	pending	pending
P3.3	P3.2	blocked-design									pending	pending	pending
P3.4	P3.3,P1.4	blocked-design									pending	pending	pending
P4.1	P3.4,P2.3	blocked-design									pending	pending	pending
P4.2	P3.4,P2.4	blocked-design									pending	pending	pending
P4.3	P3.4,P2.3	blocked-design									pending	pending	pending
P4.4	P3.4,P2.4	blocked-design									pending	pending	pending
P4.5	P3.4,P2.6	blocked-design									pending	pending	pending
P4.6	P4.1,P4.2,P4.3,P4.4,P4.5	blocked-design									pending	pending	pending
P5.1	P1.1,P1.5	blocked-design									pending	pending	pending
P5.2	P5.1,P3.4,P2.6	blocked-design									pending	pending	pending
P5.3	P5.1	blocked-design									pending	pending	pending
P5.4	P5.2,P5.3	blocked-design									pending	pending	pending
P5.5	P5.4	blocked-design									pending	pending	pending
P5.6	P5.2,P5.3	blocked-design									pending	pending	pending
P5.7	P5.2,P5.3	blocked-design									pending	pending	pending
P6.1	P1.5,P5.1	blocked-design									pending	pending	pending
P6.2	P6.1	blocked-design									pending	pending	pending
P6.3	P6.2,P5.4	blocked-design									pending	pending	pending
P7.1	P3.4,P4.6,P5.7,P5.6,P5.5,P6.3	blocked-design									pending	pending	pending
P7.2	P7.1	blocked-design									pending	pending	pending
P7.3	P7.2	blocked-design									pending	pending	pending
P8.1	P7.3	blocked-design									pending	pending	pending
P8.2	P8.1	blocked-design									pending	pending	pending
P8.3	P8.2	blocked-design									pending	pending	pending
P9.1	P8.3	blocked-design									pending	pending	pending
P9.2	P9.1	blocked-design									pending	pending	pending

